Ejecucion,Tama¤o,Insercion,Burbuja,BurbujaOpt,Seleccion,MergeSort,QuickSort,HeapSort,ShellSort
7,380,999,999,1000,1000,1000,0,0,0
8,380,1000,1999,1000,999,0,0,0,0
9,380,0,2000,999,1000,1000,0,0,0
10,380,999,999,1000,1036,0,0,0,0
1,390,0,1999,1000,999,1000,0,0,0
2,390,1341,658,1000,1000,0,0,0,999
3,390,0,1534,1039,1001,998,0,0,0
4,390,999,1320,1679,0,999,0,0,0
5,390,1000,1000,1000,999,1100,0,0,0
6,390,899,1000,999,2000,0,1000,0,0
7,390,1000,1999,2000,0,1000,0,0,0
8,390,999,2000,1000,999,0,0,0,1000
9,390,0,2000,1000,1000,0,0,0,999
10,390,0,1999,1000,999,0,0,0,0
1,400,999,2000,999,1000,0,0,999,0
2,400,0,2000,1000,1999,0,0,0,0
3,400,1000,1999,1000,1000,0,0,0,1000
4,400,0,2000,999,1000,0,0,1000,0
5,400,1535,1035,1579,1763,0,0,0,0
6,400,0,2153,1034,1939,0,0,0,1034
7,400,0,1612,1039,2000,0,0,0,0
8,400,0,1999,999,1000,1036,0,0,0
9,400,1000,1000,2000,1000,0,0,0,999
10,400,0,2000,1000,999,0,1034,0,0
1,410,0,3574,3000,2000,1000,0,999,0
2,410,999,3000,1999,1000,999,0,0,1000
3,410,0,3000,999,1000,1000,0,0,0
4,410,0,4000,3000,2000,999,0,0,0
5,410,999,3000,2000,2000,1000,0,0,0
6,410,999,2000,2000,1000,0,0,0,0
7,410,999,2000,981,1014,0,0,0,0
8,410,0,2000,1000,975,1416,0,0,0
9,410,0,2525,999,1000,1000,0,0,0
10,410,1000,984,2105,0,1050,0,0,0
1,420,1019,1104,1981,1005,0,0,0,0
2,420,0,2050,1000,999,995,0,0,0
3,420,985,1028,2049,1004,0,0,0,1421
4,420,0,2019,977,1000,998,0,0,0
5,420,1023,1000,1999,1000,514,0,0,0
6,420,1037,1000,999,987,997,0,0,0
7,420,0,2360,2412,1657,0,1015,0,0
8,420,1000,1992,1007,1998,0,0,0,0
9,420,996,2119,3473,996,1197,0,0,0
10,420,1022,999,1999,1006,0,0,0,0
1,430,0,1994,1999,1008,0,992,0,0
2,430,1003,2818,3123,991,0,0,0,1191
3,430,0,2000,992,1321,1001,0,0,0
4,430,1021,1020,1000,971,1025,0,0,0
5,430,1000,999,2973,2001,0,0,0,0
6,430,0,2024,1999,1000,0,0,1004,0
7,430,1020,2002,1000,976,1226,0,0,0
8,430,1036,1141,2050,999,0,0,0,0
9,430,1000,1976,1081,1275,0,0,1049,0
10,430,0,2004,1535,1027,0,1009,0,0
1,440,0,996,1996,1000,1008,0,0,0
2,440,993,2027,1168,1059,1004,0,0,0
3,440,1000,1986,1011,1002,1000,0,0,0
4,440,1000,999,1987,998,1009,0,0,0
5,440,984,2020,1000,1000,0,0,1001,0
6,440,997,1993,998,1018,1004,0,0,0
7,440,1000,1975,1006,1433,1046,0,0,0
8,440,1004,1984,1000,996,1017,0,0,0
9,440,1000,2000,999,1140,1210,0,0,0
10,440,1070,2066,1000,1000,999,0,0,0
1,450,1440,1431,2369,681,999,0,0,0
2,450,978,2147,1470,1050,0,0,1000,0
3,450,0,1999,2000,1036,0,1000,0,0
4,450,0,1999,1996,987,1001,0,0,0
5,450,1011,2003,1000,999,1000,0,0,0
6,450,999,1546,2013,1004,0,999,0,0
7,450,976,1996,2007,1193,0,0,0,0
8,450,1050,2000,2000,986,0,0,0,0
9,450,0,2023,1999,1000,0,0,999,0
10,450,0,2000,2011,988,0,0,0,0
1,460,564,3051,1222,1020,1000,0,0,0
2,460,999,1999,2006,1222,1047,0,0,0
3,460,1004,1999,1059,1921,0,0,1077,0
4,460,0,2048,2054,1428,571,0,0,0
5,460,1020,1980,1054,1000,0,0,0,0
6,460,1000,1986,2220,998,0,0,1000,0
7,460,0,1999,2000,977,1154,0,0,0
8,460,1054,2000,999,1273,1055,0,0,0
9,460,1076,2004,2000,999,0,0,978,0
10,460,0,1998,2118,1004,0,1000,0,0
1,470,1519,2036,2013,1000,1115,0,0,1017
2,470,0,2992,2000,1000,0,0,0,0
3,470,1351,2236,1056,2060,0,0,0,998
4,470,0,2000,1999,1000,1212,0,0,0
5,470,1056,1976,2038,984,982,0,0,1013
6,470,0,1982,998,2004,1005,0,0,0
7,470,993,1996,2031,1974,0,0,1000,0
8,470,0,2001,1000,2000,0,0,0,0
9,470,1422,1996,3006,1993,999,0,0,999
10,470,0,2999,2001,1005,994,0,0,0
1,480,0,2022,1996,1997,0,0,987,0
2,480,1032,2423,1025,2000,0,0,982,0
3,480,990,2022,1999,1004,0,0,1536,0
4,480,0,3014,1999,999,1000,0,0,0
5,480,1000,3001,1999,1021,999,0,0,0
6,480,999,3001,2024,999,0,0,999,0
7,480,0,3004,2002,1024,998,0,0,1000
8,480,0,1998,2001,2019,0,0,0,0
9,480,0,3000,1225,2529,0,0,0,1000
10,480,0,1999,2000,2192,0,0,0,0
1,490,0,2839,2367,1993,0,0,998,0
2,490,999,1999,2006,2229,0,0,0,1021
3,490,1001,2001,2000,1001,997,0,0,0
4,490,999,2002,2001,1009,0,997,0,0
5,490,1003,3080,2065,999,1007,0,0,0
6,490,991,1997,2266,2013,1001,0,1001,0
7,490,996,2481,2003,996,0,1360,0,0
8,490,1001,1997,2019,3006,998,0,1000,0
9,490,997,1996,2001,2002,0,0,0,0
10,490,999,1999,2008,2230,0,0,1000,0
1,500,0,3439,2067,1990,0,0,1000,0
2,500,0,3007,2533,1024,0,0,0,1000
3,500,0,2000,1997,1021,0,0,0,0
4,500,999,3106,2227,1022,999,0,0,0
5,500,999,2454,2009,2442,0,0,1000,0
6,500,1004,2995,3036,1003,1388,0,0,0
7,500,996,3301,2024,2027,0,0,0,0
8,500,1515,2338,2020,2137,0,0,999,0
9,500,0,1999,2226,1345,1048,0,0,0
10,500,999,2001,2152,2263,0,0,1000,0
1,510,1014,2997,1995,1999,0,0,0,1000
